company_name,stock_code,corp_code,bsns_year,report_name,reprt_code,fs_div,api_status,api_message,account_row_count,collected
HL만도,204320,01042775,2017,분기보고서_1분기,11013,CFS,000,정상,213,True
HL만도,204320,01042775,2017,분기보고서_1분기,11013,OFS,000,정상,156,True
HL만도,204320,01042775,2017,분기보고서_3분기,11014,CFS,000,정상,193,True
HL만도,204320,01042775,2017,분기보고서_3분기,11014,OFS,000,정상,149,True
HL만도,204320,01042775,2017,사업보고서,11011,CFS,000,정상,213,True
HL만도,204320,01042775,2017,사업보고서,11011,OFS,000,정상,156,True
HL만도,204320,01042775,2018,반기보고서,11012,CFS,000,정상,206,True
HL만도,204320,01042775,2018,반기보고서,11012,OFS,000,정상,155,True
HL만도,204320,01042775,2018,분기보고서_1분기,11013,CFS,000,정상,211,True
HL만도,204320,01042775,2018,분기보고서_1분기,11013,OFS,000,정상,158,True
HL만도,204320,01042775,2018,분기보고서_3분기,11014,CFS,000,정상,209,True
HL만도,204320,01042775,2018,분기보고서_3분기,11014,OFS,000,정상,161,True
HL만도,204320,01042775,2018,사업보고서,11011,CFS,000,정상,239,True
HL만도,204320,01042775,2018,사업보고서,11011,OFS,000,정상,177,True
HL만도,204320,01042775,2019,반기보고서,11012,CFS,000,정상,199,True
HL만도,204320,01042775,2019,반기보고서,11012,OFS,000,정상,152,True
HL만도,204320,01042775,2019,분기보고서_1분기,11013,CFS,000,정상,195,True
HL만도,204320,01042775,2019,분기보고서_1분기,11013,OFS,000,정상,150,True
HL만도,204320,01042775,2019,분기보고서_3분기,11014,CFS,000,정상,202,True
HL만도,204320,01042775,2019,분기보고서_3분기,11014,OFS,000,정상,152,True
HL만도,204320,01042775,2019,사업보고서,11011,CFS,000,정상,228,True
HL만도,204320,01042775,2019,사업보고서,11011,OFS,000,정상,172,True
HL만도,204320,01042775,2020,반기보고서,11012,CFS,000,정상,205,True
HL만도,204320,01042775,2020,반기보고서,11012,OFS,000,정상,156,True
HL만도,204320,01042775,2020,분기보고서_1분기,11013,CFS,000,정상,200,True
HL만도,204320,01042775,2020,분기보고서_1분기,11013,OFS,000,정상,154,True
HL만도,204320,01042775,2020,분기보고서_3분기,11014,CFS,000,정상,223,True
HL만도,204320,01042775,2020,분기보고서_3분기,11014,OFS,000,정상,168,True
HL만도,204320,01042775,2020,사업보고서,11011,CFS,000,정상,242,True
HL만도,204320,01042775,2020,사업보고서,11011,OFS,000,정상,182,True
HL만도,204320,01042775,2021,반기보고서,11012,CFS,000,정상,208,True
HL만도,204320,01042775,2021,반기보고서,11012,OFS,000,정상,157,True
HL만도,204320,01042775,2021,분기보고서_1분기,11013,CFS,000,정상,207,True
HL만도,204320,01042775,2021,분기보고서_1분기,11013,OFS,000,정상,155,True
HL만도,204320,01042775,2021,분기보고서_3분기,11014,CFS,000,정상,236,True
HL만도,204320,01042775,2021,분기보고서_3분기,11014,OFS,000,정상,178,True
HL만도,204320,01042775,2021,사업보고서,11011,CFS,000,정상,252,True
HL만도,204320,01042775,2021,사업보고서,11011,OFS,000,정상,186,True
HL만도,204320,01042775,2022,반기보고서,11012,CFS,000,정상,201,True
HL만도,204320,01042775,2022,반기보고서,11012,OFS,000,정상,149,True
